Title,Storyline
1470. Thangalaan,"Based on the true events that revolve around the lives of mine workers in the Kolar Gold Fields, Karnataka."
1471. Planet B,"France, 2039. One night, a group of activists pursued by the state vanish without a trace. Julia Bombarth is one of them. When she awakens, she finds herself trapped in an entirely unfamiliar world: PLANET B."
1472. Plastic People,"Scientists investigate the threat of microplastics in human bodies. Journalist visits labs and undergoes testing to find plastic in home, food and body."
1473. Tahong,Mira is the daughter of a mussel farmer who needs to fight a reclamation project. She would do everything to save their livelihood even if it means sacrificing her innocence.
1474. Salisihan,"When a childless couple lets a pregnant woman inside their home, temptation starts to shake their once peaceful life."
1475. Salitan,A wife suspects her husband of infidelity during a trip to Bali. She meets an attractive stranger who stirs unfaithful feelings within her. She contemplates encouraging her husband's unfaithfulness to reduce her guilt.
1476. Maidaan,"Inspired by the Indian national football team coach and manager Syed Abdul Rahim, who is regarded as the architect of Indian football."
1477. Run Away,
1478. Kang Mak,"A man named Makmur returned from the battlefield. However, Makmur finds Sari, his wife, has died and become a ghost."
1479. Familia,The life of a young man who joined an extremist group is poisoned when his abusive father comes back home after a decade-long absence.
1480. Push,Follows a realtor who must survive a night of terror when a deranged client shows up at her open house.
1481. Tabaah,Revolves around the love and turmoil between our two protagonists. The journey of these characters is marked by such unfortunate twists and events that make it a tragic love story.
1482. Lost in the Jungle,"Four Indigenous siblings survived 40 days in Colombia's jungle after a plane crash. The film shows their story through footage, recreations, and animation, highlighting Indigenous-military cooperation and traditional knowledge."
1483. Escape,"A young man who wants to live in prison and will do whatever it takes to get there, raising questions such as if those who care about him will get to stop him from committing increasingly serious crimes."
1484. Je Jatt Vigarh Gya,"Follows the story of Daler (Jayy Randhawa), a straightforward and a fierce individual whose life takes a drastic turn due to unforeseen personal circumstances. Faced with injustice and unnatural behavior, Guri's transformation from a it"
1485. Erotik 2: The Beyond,"Dahmer looks as physically ill as he is mentally. He sees, hallucinates, a glowing figure showering him with gold coins as he grovels at its feet, before going to the basement to visit the unfortunate soul he keeps captive down there."
1486. Doraemon the Movie: Nobita's Earth Symphony,"Doraemon and friends go on an adventure to meet new buddies, connect to people with music, and save the world from a crisis."
1487. Can You Hear Me?,A World War 1 Romantic Ghost Story
1488. Lubber Pandhu,"Set against the rural backdrop, explores gully cricket stars Gethu and Anbu's intense rivalry. Anbu's romantic involvement with Gethu's daughter escalates the clash. Their skills and emotions are put to the ultimate test."
1489. The Correspondent,"Award-winning journalist Peter Greste reports on the Arab Spring uprising, becoming entangled in a deadly game of rivalries. Imprisoned for seven years despite his innocence, he survives on wits alone before release in 2015."
1490. Cookster: The Darkest Days,"A dyslexic teen misunderstood by his family and desperate for respect, becomes a drug dealer struggling with addiction and debt while a rival threatens to destroy his world, driving him apart from the woman he loves."
1491. The Lockdown,"Siblings Charlie and Jack are trapped in Myanmar's toughest prison and accused of a crime they didn't commit. Forced into televised fights against other inmates, they must work together and fight for their freedom."
1492. Dedalus,"Six content creators join Dedalus, a social contest promising fame and fortune. In an isolated arena, they face increasingly dangerous games, revealing a hidden agenda of revenge behind the competition."
1493. Double or Nothing,Two cousins embark on a high-energy race against the clock to find $50k when the mob discover one of them has been skimming from their Gold Coast workshop.
1494. A Sloth Story,"After a terrifying storm destroys their home, a speedy sloth named Laura and her kooky family move to the big city in their rusted old food truck hoping to make their business a success."
1495. WWII: Operation Phoenix,"A small group of Allied commandos must parachute into enemy occupied Europe and recover the information a female spy was carrying, at all costs. They soon realize that this would be the easy part of the mission."
1496. Khadaan,"Shyam comes from the remote areas of Purulia to work as a laborer in the coal mines of the Damodar Valley. The story of Mohan and Shyam will proceed with their rise, reckoning of friendship."
1497. Mash Ville,"Lives of of pseudo-religious believers and eight strangers in a remote location. Their paths converge, forcing them into a battle for survival."
1498. Murder Company,"In the midst of the D-Day invasion, a group of US soldiers are given orders to smuggle a member of the French resistance behind enemy lines to assassinate a high-value Nazi target."
1499. Climax,"A blockbuster Filipino film sets screens ablaze in 2024, featuring beloved couples and fresh faces. Rob Gint and Apple Day guide viewers through steamy moments that promise to raise temperatures and captivate audiences nationwide."
1500. Un monde merveilleux,"In a near future, Max and her daughter are selling stolen robots on the black market. When Max loses custody of her daughter following their latest scheme, she must rely on the last robot she took, T-O, who is ready to do anything to help."
1501. Perdiendo el Juicio,A legal case unites two lawyers between rivalry and romance.
1502. Bagheera,"When society turns into a jungle, just one predator cries out for justice."
1503. Footage,A found footage thriller surrounding the story of a curious couple.
1504. Little Bites,"In a desperate attempt to protect her ten-year-old daughter, a young widow allows a nightmarish monster to slowly eat her alive."
1505. The Last Kumite,"One last kumite, one final battle - for the life of his daughter."
1506. Mi gallo,"A young boy in a rural village forms a deep bond with a fighting rooster, determined to train it for the upcoming championship. Facing local competition and personal struggles, he learns about friendship, courage, and resilience."
1507. Boléro,"In 1928 Paris, choreographer Ida Rubinstein commissions Maurice Ravel to compose the music for her next ballet. Facing a crisis of inspiration, the composer revisits his life and dedicates himself to create a universal masterpiece, Bolero."
1508. Kanguva,A tribal warrior's fierce struggle to save his people a millennium ago is mysteriously linked to a bounty hunter's perilous quest in the present.
1509. Çiftligimin Hanimi,"In order to save her father's deteriorating business, Yasemin is forced to marry Mehmet, the son of a farm owner family who lives a rich but modest life. She persuades him to marry with various tricks, and as soon as she gets what she wants, she abandons Mehmet, whom she tries to break up with, and runs away."
"1510. Palipat-lipat, papalit-palit",A guest turns into nightmare. Story revolves around protagonist and his wife. An Unwanted guest and her desire ruins their personal life. See who wins between lust and love.
1511. The Sabarmati Report,"A Hindi reporter struggles with a deadly fact when a train full of Karsewaks is set ablaze in Godhra. Years later, he is asked to help expose the Sabarmati Incident backed by a buried report."
1512. Sunrise,"A man, Fallon (Alex Pettyfer) roams the land as a creature of the night as he comes to terms with tragic loss of his family at the hands of a brutal demagogue, Reynolds (Guy Pearce)."
1513. Cabaret at the Kit Kat Club,
1514. Outlaw,"At the age of nine, Rebeca is sold by her grandmother. Disputed by bicheiros and drug dealers, the community is going through changes in power. Rebeca becomes the wife of the chief drug dealer."
1515. A Part of You,"Agnes, a teen envious of her popular older sister Julia, faces upheaval when tragedy strikes. Forced to reinvent herself, she's on the cusp of attaining her dreams but must navigate the consequences of her choices."
1516. Martin,"A journey of a man discovering himself, finding love and fighting for his motherland. Can he hold the fort on all three gates?"
1517. Devon,"After their daughter vanished from an asylum, Devon's parents engage five explorers to investigate the abandoned site years later via cryptic website, unaware of the sinister one-way journey and terrifying deadly experience awaiting them."
1518. Karinyo Brutal,"When a battered mistress meets her neighbor, she knows he will be her perfect escape plan. But things turn chaotic when their plan backfires."
1519. The Diary,"Where Olga discovers the unfinished diary of a known killer and becomes fascinated by its dark secrets. As she delves into its contents, she uncovers a mysterious connection between them, putting her life and others in grave danger."
1520. Somnium,"At experimental sleep clinic, Somnium, dreams are made real. Side effects may include: hallucinations, confusion, paranoia, sleep paralysis, detachment from reality, lost sense of self, permanent nightmares."
1521. The Gutter,"Walt lands work at bowling alley AlleyCatz. He's pressured to embrace his bowling talent, which sparks backlash from detractors seeking to undermine his sudden pro success."
1522. The Last Stand of Ellen Cole,Follow a nefarious land developer who gets more than he bargained for when he tries to intimidate an 80-year-old widow into abandoning her Montana ranch.
1523. Daddysitter,"Mara, a student taking on an unusual ''daddysitter'' job. As she grows close to her wealthy, ill client, his estranged son's return complicates everything."
1524. Misgivings,"A suburban woman's solo road trip reveals shocking truths about her life and husband, with authentic storytelling and immersive character development in 'Misgivings'."
1525. Peter Five Eight,A seemingly glamorous real estate agent in a small mountain community is revealed to be an unhinged alcoholic with a dark secret when a charismatic man in black shows up one day at the behest of his shadowy boss.
1526. Campton Manor,An author tries to investigate a decades old mystery and finds himself stuck in his own ghost story.
1527. Futra Days,"After undergoing an experimental time travel ""process"" that sends a man into his future, he investigates the man he has become, by engaging in a romance with his future self's girlfriend in a mind-bending reality."
1528. Just in Time,"A couple struggling to conceive receives an antique watch from a stranger, leading the wife to realize that the answers she seeks will come in due time."
1529. Way Home,"A father enters war-torn Syria seeking his son Adam, facing deadly challenges that test his limits and beliefs. A journey of parental love, sacrifice, powerlessness and forgiveness."
1530. Black Cab,"A couple's jovial cab driver diverts them to a remote, haunted road, revealing disturbing motives and his true intentions."
1531. City Hunter,"An exceptional marksman and hopeless playboy, private eye Ryo Saeba reluctantly forms an alliance with his late partner's sister to investigate his death."
1532. Qalb,Two young hearts falling in love. The ride takes you through the 7 stages of love.
1533. Among Neighbors,"In a small Polish town where a dark history has been silenced, an eyewitness to murder speaks out in search of the Jewish boy she loved."
1534. In Her Place,"Chile, 1955. The case of María Carolina Geel, a popular writer who murders her lover, captivates Mercedes, a shy secretary working for the judge assigned to defend the accused."
1535. The Quiet Ones,"In 2008, a group of men from Denmark and across Europe pull off the biggest heist of all time on Danish soil. Kasper, a boxer with few chances left in life, is offered the opportunity to plan the robbery by its foreign initiators."
1536. Nunakuzhi,A young man caught in a web of lies and mistaken identities.
1537. Model House,Models staying in a secluded house for the night are terrorized by intruders.
1538. Committee Kurrollu,"In a peaceful West Godavari village, the harmony of a close-knit friend group is disrupted when a disagreement leads to an unexpected fallout, impacting their lives and the tranquility of their community."
1539. Secret Sessions,"Cara is the alluring patient of engaged therapist Eric. She seeks counseling for her fetish of sleeping with taken men. But instead of addressing it, they find themselves starting a secret affair they just can't seem to stop."
1540. Kardes Takimi,The story follows a family with kids and parents that are agents. One day the parents tell the kids that they will be away for 2 days. When the parents arrive they get trapped. The kids find a robot and they go on a adventurous journey.
1541. Love Kills,Infidelity comes to an abrupt end when the cheating lovers are caught.
1542. Savi,"Savi a simple housewife attempts a daring jailbreak to get her husband out of one of England's high security prisons With 400 inmates, 75 armed guards, 60 surveillance cameras."
1543. Gloria!,"In 1800, at a girls' school in Venice, isolated and supposedly mute domestic servant Teresa discovers the joy that music can bring, teaming up with a group of talented girls."
1544. El Heredero,A family in serious debt trouble find themselves between an abusive creditor and a nephew with a large inheritance.
1545. High Forces,"Gao Haojun, an international security expert, is hijacked by gunmen on the first flight of A380 airliner, and his blind daughter is one of the undercover hostages, a fact that he doesn't know."
1546. Frankie Freako,Workaholic yuppie Conor is in an existential rut until one night he catches a bizarre ad for a party hotline hosted by a strange dancing goblin: Frankie Freako. Could this be just the recipe to spice up his boring life?
1547. Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',
1548. Crakk: Jeetega... Toh Jiyegaa,The journey of a man from the slums of Mumbai to the world of underground extreme sports.
1549. Vaazhai,"A twelve-year-old boy, Sivanandhan, his mother, sister, and friend navigate life's challenges, where a plantain tree, Vaazhai, becomes a central presence."
1550. Successor,"Ma Chenggang and Chunlan, who have ""no oil in their soup and no money in their pockets"", ride a donkey to work and have a poor family. Their son Ma Jiye is the only hope who can change their fate."
1551. Five Blind Dates,"A fortune teller tells a woman that on one of the next five blind dates she goes on, she will meet her soulmate."
1552. The Boy with Pink Trousers,"The story of Andrea Spezzacatena, who, in 2012, decided to take his own life because of the continuous bullying of some classmates."
1553. The Neighbor,"Thriller about an innocent college boy and the woman who would introduce him to manhood. Alex meets his new sultry neighbor, Rose, who awakens his sexual desire and gives him his first sexual experience only to learn a trap awaits him."
1554. Barda,"Barda is about the terrible events that happen to a group of friends who come together for a celebration in a bar. Also labeled as ""Türkiye's First +18 Realistic Film""."
1555. Without Blood,"A parable-like tale exploring themes of family, war, and revenge."
1556. Growl,"In a slum, a blind motel owner develops an unusual reaction to the noises her tenants make, awakening her sensual desires."
1557. Yudhra,"A young man consumed by vengeance, Yudhra infiltrates a ruthless cartel to avenge his murdered parents, only to discover a dark truth about his past that will test his limits."
1558. In Vitro,"On a struggling cattle farm some years in the future, a woman discovers the unsettling consequences of her husband's animal breeding technology."
1559. A Killer in the House,"When a psycho killer becomes obsessed with a beautiful girl, he does everything he can to win her over, including killing everybody in his way. This is a study of a psycho killer, his prey, and how far he is willing to go."
1560. Captain Miller,A man leaves and turns against the British-led Indian military after witnessing atrocity.
1561. Following,"A mystery thriller about a real estate agent who secretly enters clients' homes and becomes obsessed with a deceptive social media influencer. The film explores themes of obsession, identity and the dark side of social media."
1562. Cheat,"Zoe's deteriorating marriage leaves her feeling isolated and longing for connection in the aftermath of a personal trauma. To escape loneliness, she blindly stumbles into a passionate affair, which ultimately leads her down a deadly path."
1563. Believer,"A struggling writer finds herself at the center of the story she is covering when brutally attacked by a notorious cult leader and mass murderer, a man who exerts an inexplicable control over his followers."
"1564. Love, Divided",Valentina is a young pianist starting over. Her neighbor David is an inventor who hates noise. And a paper-thin wall is about to become their matchmaker.
1565. Silver Star,"Billie, a young African American woman recently released from prison, kidnaps a pregnant teenager during a failed bank robbery. With nothing left to lose, they set off on a journey together."
1566. Love Bomb,A mysterious dating app designed for one night stands brings three strangers together with deadly consequences.
1567. Nazi Supersoldier,"Searching for an adventurous story in the woods, a group of journalism students awaken a superhuman being from its lost cryo-chamber. A long night of man hunting and desperation ensues."
1568. Undergrads,A coming-of-age tale about two girls that delves into the complexities of sexuality and its big impact on their young lives.
1569. One Fast Move,"A young man seeks out his estranged father to pursue his dream of becoming a professional motorcycle racer. With help from his love interest and a motorcycle shop owner, he begins to break down the walls his father's absence had created."
1570. Blue Lock: Episode Nagi,Seishiro Nagi before he enters the titular Blue Lock facility.
1571. GTMax,"When a notorious gang of bikers recruits her brother for a heist, a former motocross champion must face her deepest fears to keep her family safe."
1572. Mor Chhainha Bhuinya 2,"Two brothers Uday and Kartik grow up together in Chhattisgarh with differences in their ideologies but with love for each other in their hearts. One day, they find themselves against each other. What will win, their love or their ideology?"
1573. Painter and Lampshade,"An artist meets a mysterious woman who becomes his model for his nude artwork. He then fantasizes making love to her; however, he always remembers her number one rule - she can't be touched."
1574. Sixty Minutes,"Desperate not to lose custody, a mixed martial arts fighter makes dangerous enemies when he ditches a matchup to race to his daughter's birthday party."
"1575. Love, Courage and the Battle of Bushy Run","Colonel Henry Bouquet, with a ragtag group of British soldiers, Scottish Highlanders and American volunteers, was tasked with trying to save the hundreds of men, women and children facing certain death - or worse - in Fort Pitt."
1576. Average Joe,A Marine who becomes a high school coach takes a legal stand to defend freedom and religious liberty for everyone.
1577. The Will to Win,2 former athletes face financial struggles at the end of their careers and seek unconventional methods of maintaining their lifestyles. Their determination and will to win lead them down a path that could alter the course of their lives.
1578. Kakuda,"This horror-comedy film follows a town trapped in time by a curse and 3 of its inhabitants face a ghost that makes them question superstition, tradition and love."
1579. Maharot,"Tantan is a small-town young man, falls for Joni, a free-spirited woman who sells herself yet teaches him about love. As their bond deepens, will their love defy life's twists?"
1580. Crippled,"Sex and rumors abound in this erotic story about high school student Jules, who won't stop at anything to get back best friend Dahlia from new student Nessa, even if it means making up stories of illicit affairs with teachers."
1581. The Bibi Files,An inside look into the corruption charges against Israeli Prime Minister Benjamin Netanyahu through leaked police interrogation videos.
1582. Srikanth,"Blind Srikanth gets into MIT, founds Bollant Industries. Pursues goals for visually impaired while facing entrepreneurial challenges, navigating personal sacrifices. Highlights obstacles overcome by the blind in academics and business."
1583. Last Swim,"On A-level results day, an ambitious Iranian-British teen in London grapples with a major life decision while hanging out with friends across the city."
1584. Out of Control,A marriage is threatened when the husband's first love comes back to town.
1585. The Unrighteous,
1586. Fight Another Day,"Follows a tough cop, who after being transported to a dystopian future, must enter a deadly combat tournament to be able to return to his past."
1587. Serra das Almas,"In Pernambuco, a jewel robbery brings together an old group of misfit friends, with catastrophic results. Watched over by ghosts from the past, each of them will have to find their own way to freedom."
1588. The Present,"A brilliant boy discovers that he can manipulate time using a family heirloom. He soon teams up with his siblings in returning to the time of their parents' separation, with hopes of changing the outcome."
1589. Abraham Ozler,"Revolves around the personal and professional lives of veteran cop Abraham Ozler, ACP Trichur, who at one time has to take up a serial killing case and the mysterious hunt begins."
1590. The Twin,"After the tragic loss of his son, a man begins experiencing terrifying visions of a figure that looks like himself. As reality unravels, he must confront his past and the supernatural force haunting him before it consumes him completely."
1591. La Hacienda - El Regreso de los Malditos,A group of friends return to their hometown after many years. The trip is an excuse to reminisce about old times but turns into a nightmare when they unearth their darkest memories.
1592. Perfect Endings,"João and Hugo end their 10-year relationship but stay best friends. As they start dating again, uncontrollable emotions arise, contrasting the planned perfection of their breakup."
1593. The Holiday Club,Follows two friends growing relationship over the course of a year in holidays.
1594. A Vintage Christmas,"Sparks fly when a developer, Noah (Russell) arrives in Oak Creek with plans to replace an abandoned Post Office with a modern office complex and needs to work with Tessa (Patterson) the town's historian/preservationist to compromise."
1595. Empire Queen: The Golden Age of Magic,"In a kingdom where magic is forbidden, a charming trio of adventurers embark on a dangerous quest in search of the legendary Sovereign Wand, which is needed to overthrow an evil queen and restore magic for all."
1596. Ronny - The ruler,"A disillusioned actor turns into a feared mass rowdy, using his power to dismantle corrupt systems amid societal conflicts."
1597. Shayar,Satta and Seero's enduring love faces obstacles from destiny. Their journey depicts the resilience of true passion as they strive to overcome adversity and be together
1598. Razakar: The Silent Genocide of Hyderabad,Revolves around the Hyderabad Liberation Movement of 1948. Capture the struggles of Telangana and its people in the early days of Independence to reclaim their religion and identity in the face of military and political oppression.
1599. The White Mountain,"Follow elite heli-rescuer Bastien and female extreme skier, Hadley as they confront personal challenges on and off one of the world's most iconic mountains, exploring risk, resilience, and our bond with nature amid climate change."
1600. Wild Wild Punjab,"Khanna has had a breakup. He's upset, but he has friends like Arora, Jain and Honey paa'ji who encourage him to face this breakup head-on and move on. They embark on a trip across Punjab to help Khanna find the closure he desires."
1601. Bionic,"When the progress of robotics makes Paralympic athletes the new sports stars, Maria dreams of competing against her sister. For that, she will have to enter a world of crime and violence."
1602. Hack Your Health: The Secrets of Your Gut,An informative yet lighthearted documentary exploring the intricacies of the digestive system and its pivotal role in maintaining overall health and well-being.
1603. Chapter 51,"An FBI agent investigates footage from film ""Dissident"" where multiple actresses in the same role have died during production, searching for The Hollywood Killer's identity. The suspect pool is vast and deceptive."
1604. Little Wife,"In the late 1940s, a 15-year-old girl is concubine of an older master. She waits for her husband every day and falls in love with a student who sings in front of her house. Imagine her disappointment that his song is for a girl next door."
1605. Filthy Animals,"Two outlaw misfits, Lars, a thrill-seeking drug enthusiast, and Freddy, a bodybuilder recently out of rehab, hunt down child sexual predators on Christmas Eve."
1606. Bad Newz,"A crazy laugh riot which will show the outcomes of two sophisticated Punjabi men and a Punjabi girl. One of the men has a one night stand with the girl and somehow, craziness happens when she is pregnant unexpectedly."
1607. Balas & Bolinhos: Só Mais uma Coisa,
1608. Bad Director,"It follows Gregor Samsa, a washed-up director in his late fifties who is reviewing his life. Him having wasted it as a cultural worker doesn't exactly add to his joy."
1609. The Pee Pee Poo Poo Man,A paranoid young man launches a bizarre crime spree against the citizens of Toronto.
1610. Stelios,"Legendary Greek singer Stelios Kazantzidis, a Pontic refugee child who overcame challenges through talent and resilience, exploring his music, relationships, hardships, and devoted fanbase."
1611. The Bunker,"When mysterious alien ships appear in the sky, a scientist is sealed in an underground bunker and must create a bio-weapon to stop the unknown visitors, but paranoia and isolation cause her to question the true intention of her mission."
1612. Kaulayaw,"Robb Guinto and Micaela Raz heat up the screen as college schoolmates who venture into the world of cybersex to support their needs. They fulfill their fans' sexual fantasy only to realized that they too, are falling for each other."
1613. Backrider,"Faith is a private massage therapist. After a nasty break up with her gaming and crypto addicted boyfriend, she finds comfort in her rich, and seemingly kind client, but finds herself in a passionate and perilous situation."
1614. Balinsasayaw,"A rich woman marries a charming womanizer who conspires with his wife's best friend. When all the revelations are exposed, the tables suddenly turn."
1615. The Divine Sarah Bernhardt,"Sarah Bernhardt, dubbed ""La Divine,"" became the first global celebrity. The actress broke social conventions through her bold character and dramatic performances."
1616. Sisid Marino,"A married couple falls into depression after the death of their child. They turn to sex as a coping mechanism, but poverty takes its toll on them."
1617. The Price of Nonna's Inheritance,"When a grandmother falls for a cheeky suitor with dubious intentions, her family devises a secret plan to protect her life and their inheritance."
1618. Nice Girls,"When Léo's brother Ludo is killed in Hamburg, despite orders she partners with German cop Mélanie to investigate. Unbeknownst to them, Nice faces a threat and they share an unknown connection."
1619. S.T.A.L.K.E.R.: Shadow of the Zone,A seasoned Free Stalker tasked with guiding a band of Mercenaries deep into The Zone to investigate a paranormal radio signal. Based on the S.T.A.L.K.E.R. video-game series by G.S.C. Game World.
1620. Another Cabin in the Woods Movie,"In this tongue-in-cheek spoof, horror-savvy characters are trapped in yet another cabin in the woods, where they are forced to navigate murder and red herrings to uncover who will stop at nothing for their twisted happily ever after."
1621. Still Fabulous,"Stuck in a dead-end career and on a string of terrible dates, the life of 30-something Maddalena is a total mess. Until one day she meets an unlikely guardian angel that comes to her in the form of real-life porn star Valentina Nappi."
1622. Tantra,"A timid girl named Rekha possesses an extraordinary power to perceive spirits. When she encounters a malevolent tantric, she's drawn into unraveling dark occult mysteries, putting her life at risk."
1623. In Youth We Trust,"Puek, a boy from the slums, had no choice but to endure his circumstances, feeling that he could never have the same worth as others. He remained silent, accepting the bullying of others just to survive in society."
1624. Kill Craft,"Marina lives with her disabled mother and her hit man father. When he dies at work, she must take charge of the family business and take care of her mother. Marked to die, Marina must navigate the world of assassins to survive."
1625. Rippy,"Obsessed with living up to her dead father's legacy, a young sheriff finds her mettle tested when locals are found ripped to shreds."
1626. The Last Dance,"A debt-ridden wedding planner inadvertently becomes a successful funeral planner, but he must convince a traditional Taoist priest of his legitimacy to continue operating in the field."
1627. Red Flag,"Gina, a car saleswoman, starts dating Red, a coworker with a reputation for womanizing. Their intense romance progresses quickly, but doubts surface about Red's intentions and potential warning signs."
1628. Cuerpo escombro,
1629. Salve Maria,"Maria, a new mother and writer, is transfixed by the disturbing case of a woman who drowned her infant twins, prompting her own journey through the complexities of motherhood."
1630. The Dead Thing,"A young woman lost in a series of meaningless connections falls in love with a charismatic and sensitive man, who hides a dark secret that turns her affair into a dangerous obsession."
1631. Unbreakable: The Jelena Dokic Story,"Jelena Dokic's refugee experiences, rise to world No. 4 in tennis, and tumultuous relationship with her abusive father Damir Dokic."
1632. A Strange House,"Amemiya is an unpopular Youtuber who specializes in the occult. One day, his manager brings him a floor plan with an inscrutable point. With the help of Kurihara and Yuzuki, he begins to look into the plan and reveal the mystery behind."
1633. Decoded,"In the 1940s, the world was turbulent, and it was crucial to decipher enemy's communication codes timely and accurately. Rong Jinzhen showed a unique talent. He was noticed by more because he accidentally solved the difficult problem."
1634. Staycation,"As a candid interview carries on between the country's leading virologist and a no-nonsense journalist, college roommates deal with the daily struggles of a global pandemic, and a couple separated between continents play catch up."
1635. The Hangman,"Troubled father Leon takes son camping in Appalachia. Local cult summons evil Hangman demon. Son goes missing. Leon must confront cult, monster to find him amid rising body count."
1636. Ellis Park,Legendary Australian musician Warren Ellis takes us on a guided tour through his world and one very special animal sanctuary.
1637. The Groomsmen Last Dance,"Jackson moves to Italy to be near his daughter, but a chance meeting with cafe owner Gabriella, and some meddling friends, may lead to a second chance at love."
1638. Not Another Church Movie,"God commands Taylor Pherry to write a movie inspired by his crazy, dysfunctional family, but the Devil has his own devious plans."
1639. The Park Maniac,"Based on a true story, an infamous serial killer, who assaulted and killed several women in the 90s, gets on a collision course with a young journalist eager for the truth and a career-changing article."
1640. Shivam Bhaje,"A humble loan agent finds himself caught up in a global conspiracy to cause devastation in India. An accident triggers visions of crime and a serial killer, compelling him to unravel a larger mystery and prevent an impending catastrophe."
1641. Guruvayoor Ambalanadayil,"A young man never wanted to marry because his girlfriend married someone else. Five years later, he was all set to get married. But a discovery about his bride's extended family forces him to reconsider? Will he marry her?"
1642. Russians at War,"Follows Russian soldiers in combat, revealing colonial history and their increasingly unclear motivations amid daily struggles and losses."
1643. The Infallibles,"While a gang of robbers has been sowing chaos in Paris and humiliating the police for months, the Minister of the Interior wants new blood to head the investigation: Alia, explosive and unmanageable, Hugo, valedictorian and meticulous."
1644. Pabar,"Benudhar Kandi, hailing from a little village of Gumagarh in Odisha, does not have big expectations until circumstances force him into local politics."
1645. Kapalit,"Audrey is hired as a private nurse by Stan for his sick wife, Demi. But as Audrey spends time with the married couple, she falls for Stan and works her way to replace Demi as Stan's lover."
1646. Rifle Club,A historic rifle club faces a vengeful arms dealer's gang in the Western Ghats. Skilled hunters fight to survive and protect their legacy.
1647. Mother Father Sister Brother Frank,A suburban family plots murder when an uncle crashes Sunday dinner with a nasty surprise.
1648. Deadly Ruphoria,"A rare night out for college student Shana Jones turns deadly when Romeon Kingston, the head of a human trafficking ring, sets his sights on her."
1649. Kingdom 4: Return of the Great General,"While Qin continues to fight for the unification of the region, its neighboring country invades Qin from the north."
1650. Son's Will,"A post-apocalyptic tale set in the west Balkans, after a nuclear war."
1651. La Casa,"After the death of their father Antonio, his three grown children and their families gather at his modest vacation home to prepare it for sale. During their short stay, long-buried memories and secrets rise to the surface."
1652. The Good Teacher,"When a Literature teacher is confronted with a teenage student's complaint of inappropriate behavior, he is called upon to fight to protect his name, his position in the school, and his longtime gay relationship, which no one knows."
1653. 24 Hours to D-Day,A squad of American paratroopers are dropped behind enemy lines in Nazi occupied France to prepare a signal beacon to guide Allied forces in preparation for D-Day.
1654. Everybody Loves Touda,"Touda is a Sheikha, a traditional Moroccan singer. Performing in the bars of her provincial town under the gaze of men, she plans to leave for the lights of Casablanca, to gain recognition and ensure a better future for her son."
1655. The Other Way Around,"After 15 years as a couple, Ale and Alex decide to throw a party to celebrate their separation, leaving their loved ones perplexed."
1656. I Want to Be Neenja! The Movie,"One of the greatest songs ever is now a movie. Buckle up for a laughter-filled ride. Jennifer Murphy ""GoGirl"" is a superhero on a mission to spread smiles, but she is being sabotaged by Chow, the billionaire ninja villain. Who will win?!."
1657. Humans in the Loop,"A single mother from the Oraon tribe balances training AI systems and reconnecting with her roots, while her pre-teen son struggles to accept their new life away from the city."
1658. Matters of the Heart,"Follows a middle-class family who, on the surface, have a happy and perfect life. But behind the facade, the family is on the verge of disintegration due to the father's escalating alcohol consumption."
1659. A Million Minutes,"Vera and Wolf Küper, parents to Nina and Simon, navigate work and family stress. Their world gets shaken with Nina's motor disorder diagnosis, reminding Wolf of her wish for a million minutes, just for the really nice things."
1660. Electra,A journalist and his female companion travel to interview a famous musician in Rome where a generous invite to a country estate becomes something much more than anyone expected.
1661. Intoxicated by Love,"Story of Rumi, his friendship with Shams Tabrizi, the love he had for him and the great influence of Shams over him in his life, his poetry and his love for God."
1662. Oshi no Ko: The Final Act,"Goro is a gynecologist and idol fan who's in shock after his favorite star, Ai, announces an impromptu hiatus. Little does Goro realize that he's about to forge a bond with her that defies all common sense!. Lies are an idol's weapon!."
1663. Bambi: A Tale of Life in the Woods,"From birth, Bambi is close to his mother, learning survival in the forest. He makes friends, but after hunters kill his mother, he becomes an orphan. With guidance from his father, Bambi learns to navigate life's dangers and matures."
1664. Rolling Papers,"A portrait of European youth as they navigate life in their twenties, grappling with uncertainty and searching for purpose."
1665. The Legend of Lake Hollow,A group of friends at a remote lakeside cabin find themselves in a deadly nightmare when trail cameras on the property reveal they are surrounded by more than just Mother Nature.
1666. Kuyang,"A candidate of civilian servant named Bimo was assigned to an isolated village in Borneo island and brought his wife, Sriatun, who was pregnant. Strange events began to occur since their arrival in the village."
1667. 11:11,"11:11 is about an outcast writer who, due to his troubled state of mind, lives in a derelict house with his delusions. He is suddenly threatened by mysterious figures in black to write a story they want. Otherwise, at exactly 11:11, they will raid his house and not eliminate him, but force him to comply with their demands in their own way, which is worse than annihilation. Now he is caught in a dilemma between staying and submitting or erasing himself before the appointed time."
1668. Chantal in Fairyland,"Chantal will be involuntarily transported to a fairy tale world, fighting against witches and tyrant kings, but above all for her friendship with Zeynep."
1669. Viva La Vida,"A young woman who needs a kidney transplant wants to marry someone who will be able to donate a kidney, and meets a young man who has a brain disease."
